Turkish,English
rusya,Russia
uzaktan,remotely
sür,drive
marie,Marie
davranış,behaviour
sevmem,I don't like
başlıyorum,I'm starting
cevabı,answer
içmeye,to drink
miktarda,quantity
bitmiş,finished
catherine,catherine
parçaları,parts
öldürmüş,killed
etrafı,around
ailemi,my family
kaybı,loss
uzman,expert
noktaya,to the point
haksız,unfair
adamdan,from the man
jessica,jessica
yedim,I ate
carol,Carol
dr,Dr.
bildiği,he knows
ayın,ritual
hissettiğini,what you feel
tabiki,Of course
dile,wish
brad,Brad
söyleyebilirsin,you can say
etmekten,from
ambulans,ambulance
jüri,jury
şuan,now
üzerime,on me
adamdı,he was a man
satış,sales
peynir,cheese
memnunum,I'm satisfied
soruyu,the question
çalışır,works
yakalayın,catch up
istediğimiz,we want
başlamadan,before starting
lu,lu
uyar,fits
elena,elena
söylemen,to say
hikayesi,story
düzenli,organised
kış,winter
bulmamız,we find
jay,Jay
ölümüne,to death
insana,to human
cennet,heaven
arasına,between
tarif,specification
meydana,occurred
tekisin,you are one of a kind
etkili,effective
anında,instantly
söyleyip,say and say
hapishane,prison
gelmesi,to arrive
sorumluluk,responsibility
yönetim,management
insanlardan,from people
duvar,wall
icin,for
gidebiliriz,we can go
boşuna,in vain
açtı,opened
gerekti,it was necessary
babanla,with your father
çıkmaz,impasse
çalıştığı,working
wilson,Wilson
geceki,in the night
güzellik,beauty
eller,hands
önde,ahead
ederler,they do
yaratık,creature
müsün,are you
şerefsiz,dishonourable
feda,sacrifice
jess,jess
jordan,Jordan
operasyon,operation
kek,cake
şampanya,champagne
hollywood,Hollywood
yağ,oil
yerler,places
etmeyeceğim,I won't
gus,gus
müdürü,manager
kötüye,abuse
günüm,my day
kore,Korea
geldiğimde,when i come
çocukla,with the child
vali,governor
gelsene,come on
görmem,I don't see
ödülü,award
carlos,Carlos
dişi,female
kasabada,in town
yapıldı,done
ihtimali,possibility of
ayrılmak,To leave
vermelisin,you should give
oradaydı,was there
güzelim,my beauty
dolara,to the dollar
elime,into my hand
bilerek,on purpose
perşembe,Thursday
çıkmadı,did not come out
küçükken,when I was little
yanıyor,on fire
olmalılar,they must be
etmeni,factor
değişir,varies
kaybetmiş,lost
ötürü,because of
değeri,value
hain,traitor
kayıtları,records
hoşlanıyor,likes
numarayı,the number
kafamı,my head
anlam,meaning
gazete,newspaper
haftadır,for a week
telafi,compensation
getiriyor,brings
durumun,of the situation
sabırsızlanıyorum,I can't wait
vergi,tax
sağolun,thank you
yılı,year
yapmadan,without doing
söylemesi,to say
kapatın,shut down
herifin,the guy
carrie,Carrie
yerime,in my place
dakikaya,to the minute
güvenilir,Trustworthy
lise,high school
aa,ah
hannah,Hannah
uluslararası,international
bittiğinde,when it's over
birbirlerine,to each other
baya,quite
yapamayız,we can't
yaşıyoruz,we are living
bayılırım,i love it
yapsın,let him do it
iste,at work
bölgede,in the region
vereceğiz,we will give
diz,knee
hal,status
hoşgeldin,Welcome
uyum,rapport
uçağa,to the plane
amin,amine
doktorlar,doctors
cinayeti,murder
böcek,bug
halen,currently
yatıyor,lies down
koymak,to put
kalmaya,to stay
üniversiteye,to university
edward,Edward
soruyorsun,you ask
delil,evidence
kanser,cancer
geminin,of the ship
yüzük,ring
kazandın,you won
yaptığına,what you did
yandan,from the side
sabaha,in the morning
haberdar,informed
girebilir,can enter
otelde,at the hotel
âşık,in love
bulalım,let's find
pilot,pilot
anlar,moments
umuyordum,I was hoping
betty,Betty
alabilirim,i can buy
istemiyoruz,we don't want
brown,Brown
sun,sun
young,young
düşünmüyor,not thinking
merhamet,mercy
yük,load
temas,contact
kardeşimin,my brother's
darbe,coup  
gerçekleri,facts
tutan,holding
zahmet,bother
king,king
ho,ho
nedeniyle,because of
kurtardın,you saved
ikisini,both of them
İtalyan,Italian
deneyelim,let's try
beth,Beth
müdahale,intervention
gordon,gordon
ani,moment
öteki,other
miller,miles
söyleyeceksin,you will say
ağzından,from your mouth
rengi,color
resmini,your picture
ederse,if
bilgileri,information
tutmaya,to keep
direk,direct
ulan,damn
karımı,my wife
almadan,without taking
hatan,your mistake
görecek,will see
hikayeyi,the story
geçelim,let's go
korusun,bless
almıştım,I bought it
tuttu,kept
direkt,direct
me,me
ağlama,cry
tavşan,rabbit
sanmam,I don't think so
numarasını,number
ateşe,into the fire
olacağına,will happen
kraliyet,royal
önem,importance
üstün,superior
kurtarma,recovery
zordur,it is difficult
tutar,amount
boston,boston
parker,Parker
yiyelim,let's eat
etmemiz,we should
yatırım,investment
versene,give me
denize,to the sea
çeker,pulls
önemlisi,importantly
esas,basis
izledim,I watched
gençler,youth
niyetim,my intention
şirketin,of the company
başının,your head
çıkıyoruz,we are going out
sınır,border
alet,tool
çanta,bag
türden,kind of
gelmeyecek,won't come
uyarı,warning
İşleri,Works
devre,circuit
nişan,April
çalmak,to play
anlatmaya,to tell
listesi,list
vermeden,without giving
borçluyum,i owe
bugüne,to date
tekne,boat
anasını,his mother
buradaydı,was here
dosya,file
kurmak,to create
söylemiyorum,I'm not saying
anlamsız,meaningless
wayne,wayne
zamanla,in time
doktoru,doctor
sebebini,the reason
karıştı,confused
burnunu,your nose
lik,ness
ot,grass
popüler,popular
çağrı,call
herneyse,Anyway
nesin,what are you
robot,robot
cok,A lot
etmenin,to do
bulmam,I don't find
kanka,buddy
zehir,poison
ian,Ian
kenny,kenny
katilin,the murderer
değiştirdi,changed
amaç,aim
kimler,who
kadarını,as much as
dennis,dennis
casey,Casey
okulun,of school
bugünlerde,these days
panik,panic
oscar,oscar
artı,plus
liz,liz
jeremy,Jeremy
taşı,stone
olivia,olivia
teşhis,diagnosis
marty,marty
tae,tae
giy,wear
gittiği,went to
bıçağı,knife
bekleyeceğim,I will wait
eğlenceler,entertainment
değişik,strange
gereksiz,unnecessary
özlüyorum,I miss you
uslu,well-behaved
olmayacağım,I won't be
kader,destiny
steven,steven
benzemiyor,it doesn't look like
duymadın,you didn't hear
sue,sue
sesle,by voice
bilgiler,information
yapabileceğini,what you can do
homer,homer
oğlumun,my son
jin,Jin
planım,my plan
naber,What's up
kokusunu,the smell of
oğlunun,your son
cadılar,witches
adlı,judicial
randy,Randy
çaresine,to remedy
arabasını,his car
bulunduğu,is located
nina,nina
kemik,bone
matthew,matthew
ethan,Ethan
gitmiyorsun,you are not going
yaşadığı,live
bitecek,will end
arkaya,back
merkezinde,in the center
kaldırın,remove
mola,break
miami,miami
çeken,attracting
vaktin,your time
reklam,advert
yanılıyorsun,you are wrong
açıp,open and open
başımdan,out of my head
misafir,guest
odayı,the room
büyükbaba,grandfather
davası,case
sapık,pervert
vurmak,hit
koru,protect
kod,code
meşgulüm,I'm busy
alçak,low
buldular,they found
yasa,law
hız,speed
boy,size
görürsün,you see
geçiriyor,is going through
söylemeyeceğim,I won't tell
dylan,dylan
gideceğini,you will go
kımıldama,don't move
kaçmaya,to escape
kıyafet,clothes
isteyeceğim,I will want
bulamıyorum,I can't find
ordusu,army
sikeyim,fuck
İnsanlara,to people
gibiler,like
davis,davis
bağlantısı,connection
is,work
kurtar,save
zorlu,tough
aranızda,among you
yapardı,would do
uzaylı,alien
otuz,thirty
sesleri,sounds
önden,from the front
kol,arm
lafı,the word
yüzümden,because of my face
icabına,take care of
lerin,of the
bekledim,I waited
kimmiş,who is it
söylerdi,would say
yıllarca,for years
yalvarıyorum,I beg
yüzüğü,ring
bahsettiğini,what you mentioned
veri,data
cihazı,device
olmana,to be
mıdır,Is it
yoruldum,I am tired
karı,wife
ilham,inspiration
şapka,hat
istemezdim,I wouldn't want to
gezegen,planet
ron,Ron
derdim,I would say
başlamış,started
cüret,daring
dilemek,wish
birilerinin,someone's
öncesi,pre-
başımıza,on our own
etki,effect
yazan,written by
koydu,laid
bahsediyor,is talking about
temizlik,cleaning
hali,state
ilişkisi,relationship
alırız,we take
birlik,unity
başkasının,someone else's
yapabileceğimiz,we can do
lider,leader
etmiyorsun,you don't
öte,beyond
görüş,opinion
üstüme,on me
şeylerle,with things
çabucak,quickly
servisi,service
kafalı,-headed
haklısınız,you are right
zoe,zoe
görünüyorum,I look
puan,point
ibaret,consists of
çıktığını,you came out
okumak,to read
söylediğimi,what i said
walker,walker
hırsızlık,theft
sakinleş,calm down
çocuğunu,your child
yaramıyor,it doesn't work
anahtarları,keys
kolunu,your arm
kamyon,truck
aklında,in your mind
istersiniz,you want
ülkede,in the country
telefona,to the phone
giderek,increasingly
halkın,of the people
şükran,gratitude
istemiyorsan,if you don't want
endişeleniyorum,I'm worried
teddy,teddy
üstünü,top
gitmeni,to go
sınırı,limit
öldürmedim,I didn't kill
nadir,rare
çete,gang
örümcek,spider
izliyor,is watching
düşüyor,is falling
bitirmek,finish
ellen,ellen
bağ,bond
gelmiştim,I came
noeller,christmas
dar,narrow
yanındaki,next to
gürültü,noisy
bakacak,will look
gelişme,development
alındı,receipt
shawn,shawn
boyun,neck
anlatayım,let me tell you
dana,calf
başlayın,start
sahneye,to the stage
öylesin,you are
başkalarının,others
benziyorsun,you look like
örneğin,for example
sarışın,blonde
ulaşmak,to reach
anlattım,I told you
vermişti,had given
martha,Martha
anladığım,I understand
yerleri,places
hapis,prison
yolla,send
üstünden,over
yapacaksınız,you will
ailemin,my family
zekice,cleverly
kaçmış,escaped
konuşmalıyız,we should talk
maruz,exposed
edilemez,cannot be
kalanı,the rest
beşinci,fifth
yapamıyorum,I can't do it
dağ,mountain
sağlıyor,provides
çıkarsa,if it comes out
İşini,your job
gemide,on board
caroline,Caroline
boya,paint
geliyordu,was coming
oysa,whereas
dil,language
midir,Is it
sorma,don't ask
arkasından,behind
aldığın,you got
sabahın,of the morning
bilgiyi,knowledge
olabildiğince,as much as possible
michelle,michelle
ortalıkta,around
altındaki,under
vermiştim,I gave
terörist,terrorist
buysa,if this
konuşan,speaking
evvel,before
lı,li
çıkarmaya,to take off
jennifer,jennifer
eşit,equal
gay,gay
arkadan,behind
köle,slave
ahmak,idiot
kang,kang
seç,choose
sınıfta,in class
istemediğini,you don't want
toplantısı,meeting
av,hunting
albert,Albert
yapılması,to be done
tuzağa,into the trap
savaşçı,fighter
yetmez,not enough
gibbs,gibbs
geçirmiş,has had
geçtim,I passed
sesli,voiced
sanıyorsunuz,you think
olurlar,they become
töreni,ceremony
başardım,I made it
getirecek,will bring
etmedin,you didn't
diane,diane
bitiyor,is ending
oyunun,of the game
soygun,robbery
davran,act
teknoloji,technology
alana,to the field
korkmuyorum,I'm not afraid
nancy,Nancy
francis,Francis
ömür,lifetime
ölüyorum,I'm dying
halkı,the people
dediğine,to what you said
hepinize,to all of you
yarına,to tomorrow
audrey,audrey
huh,huh
sizlere,to you
durdurun,stop
anlamıyla,literally
İncil,Bible
sivil,civilian
zorundaydım,I had to
İsmi,Name
düşünüyorlar,they think
sürüyor,in progress
bırakacağım,I will leave
buluşma,meeting
hakkın,your right
sağladı,provided
kadınlara,to women
konuştu,spoke
lou,lou
aaron,Aaron
meşhur,famous
yanıt,response
hakkını,your right
lideri,leader
joseph,joseph
almadım,I didn't receive
delirdin,you went crazy
ödemek,pay
doldu,is up
yazmış,wrote
kapıları,gates
kaçırdım,I missed
merkezine,to the center
mösyö,monsieur
duyabiliyor,can hear
devamlı,continuous
ailesini,his family
kalbimi,my heart
sinirli,annoyed
amma,but
memuru,officer
duymuş,heard
satmak,to sell
uyanık,awake
hepinizin,all of you
simdi,Now
kurallar,rules
gördüğü,what he sees
angel,Angel
içimde,inside me
sessizce,quietly
kokain,cocaine
herhâlde,probably
petrol,oil
abla,older sister
işime,to my work
bittiğini,that it's over
kiliseye,to church
yaşına,age
masaya,on the table
yapmaktan,from doing
binanın,of the building
eti,flesh
şahane,wonderful
mecbur,forced
karanlıkta,in the dark
konuya,to the subject
delikanlı,lad
sevmiyor,doesn't like
gidemezsin,you can't go
yazılı,written
gönderdim,I sent
çektim,I took
hissettiriyor,it feels
şüphesiz,no doubt
öfke,anger
ikimizin,both of us
muazzam,enormous
aktif,active
babasını,his father
bildin,you knew
işiniz,your job
aklı,mentally
başarı,success
vermedim,I didn't give
politik,political
dolusu,full of
çekiyorum,I'm suffering
müsait,free
toby,toby
gözlerin,your eyes
aklımdan,from my mind
muydunuz,Did you
döndüğünü,you're back
öldürüyor,is killing
benimkini,mine
barbara,barbara
içecek,drink
kanada,Canada
alması,to take
işlerin,your works
r,r
verdiniz,you gave
zamanını,your time
oturma,living
sesler,sounds
ruhunu,your soul
tanıştığıma,to meet you
sayfa,page
hatırlamıyor,doesn't remember
herifler,guys
avcı,hunter
hepinizi,all of you
anlaşmayı,agreement
marshall,marshall
İstediğim,I want
hı,huh
veriyoruz,we give
birbirlerini,each other
İşim,Name
dinliyor,is listening
avukatı,lawyer
raymond,raymond
saçlı,-haired
porno,porn
yaparlar,they do
ağrıyor,it hurts
ederdi,would
odama,to my room
yetenek,talent
karısını,his wife
yasadışı,illegal
zehirli,toxic
yemiş,eaten
sayıda,in number
olayını,the incident
aday,applicant
ton,ton
kum,sand
arkadaşımın,my friend's
yardımın,your help
bilimsel,scientific
sıraya,line up
maya,Maya
olumlu,positive
hakkım,my right
yakaladık,we caught
pencereden,from the window
arabam,my car
şekli,shape
bulabilirim,I can find
istediler,they wanted
sevgilisi,lover
bölgesi,region
düşünür,thinker
gitsem,if i go
otele,to the hotel
sürmez,doesn't last
jean,jeans
jacob,jacob
minnettar,grateful
bekleme,wait
evlenme,marriage
doğruca,straight
kızının,your daughter's
hatırla,remember
kasabaya,to town
zar,membrane
işbirliği,partnership
gözle,by eye
görünmez,invisible
seviyoruz,we love
şeyini,your thing
mars,anthem
kızımın,my daughter's
eva,eva
oynamaya,to play
kendilerine,themselves
hatası,error
borçlu,debtor
istemiş,wanted
öldüğünde,when you die
aradın,you called
hong,hong
orman,forest
durumunu,status
birisiyle,with someone
uçan,flying
sağlar,provides
elma,apple
fotoğrafını,your photo
logan,Logan
İtalya,Italy
miydiniz,were you
bedelini,the price
hediyesi,gift
pazarlık,bargain
ötesinde,beyond
hocam,my teacher
İstemiyorum,I don't want
ikiye,in two
bildiğiniz,you know
gitmesini,to go away
bulana,until you find it
koruyucu,protector
şov,show
bakanlığı,ministry
b,b
haberlerim,my news
keser,cuts
yöne,direction
sonradan,later
adres,address
kanıtı,proof
riley,riley
öğren,learn
vurdum,I shot
oksijen,oxygen
ofisi,office
gönderin,send
sakla,hide
vuruldu,was shot
çıkardım,I took it off
çalışması,study
hazırla,prepare
verirseniz,if you give
yarayacak,it will work
söylediniz,you said
yapmasını,to do
margaret,Margaret
sağlayan,providing
görgü,manners
yavrum,my baby
yaşındasın,you are years old
woo,woo
çalışıyorsunuz,you are working
yemekten,from eating
evinin,your house
öz,self
sesin,your voice
yanından,from the side
söylüyorsunuz,you say
yüze,to the face
televizyonda,on TV
eşyaları,belongings
çıkarken,on the way out
bozucu,disruptive
öp,kiss
tarafına,to the side
wendy,wendy
keith,Keith
söylediklerini,what you said
girmeye,to enter
üzülme,don't be sad
döndüğünde,when you return
terfi,promotion
mutfakta,in the kitchen
plastik,plastic
devasa,colossal
kalem,pen
hoşlanmıyorum,I don't like
çocuklarım,my children
ooh,ooh
olursak,if we are
süren,lasting
bitince,when it's over
yapıyordun,you were doing
sırrı,secret
kent,city
olayları,events
mickey,mickey
düşündü,thought
hesabı,account
görevim,my duty
duman,smoke
vurdun,you hit
ok,arrow
edebilecek,will be able to
dönmem,I won't return
kaçıyor,running away
şahsen,personally
annesini,his mother
kararını,your decision
eylül,September
yapmıyor,doesn't do
kalmayı,to stay
başkaları,others
çoğunlukla,mostly
kalması,to stay
rüşvet,bribe
soruyor,he asks
kalmasını,to stay
kalırsa,if it stays
cesedini,his corpse
sorunlar,problems
ağacı,tree
spencer,spencer
cehennemde,in hell
kullanma,use
üniversitesi,university
fikrimi,my opinion
florida,Florida
yürüyüşe,for a walk
dönüyorum,I'm returning
garson,waiter
victoria,victoria
dı,was
aykırı,against
köprü,bridge
malcolm,malcolm
renkli,colourful
berlin,Berlin
virüs,virus
ek,additional
gözler,eyes
edersiniz,you will
büyüleyici,fascinating
dönem,period
lewis,Lewis
derse,if he says
gözlerimi,my eyes
olmasının,being
emniyet,safety
çıkarıp,take it out
tanıklık,testimony
kaplan,tiger
atıp,throw away
bahane,excuse
gül,rose
penny,penny
kutlu,blessed
holly,holly
ağrı,pain
söylememi,don't tell me
stephen,Stephen
yavru,baby
giren,entering
seçeneğim,my option
yemeye,to eat
kullanmayı,to use
olabilirsiniz,you can be
çalıştın,you studied
açar,opens
istiyorsa,if he wants
arkadaşız,we are friends
imza,signature
dertte,in trouble
arkadaşımı,my friend
olmanız,to be
kimliği,id
herifi,guy
gitmişti,was gone
kurulu,board
anlıyorsun,you understand
fakir,poor
duruyorum,I'm standing
siktiğimin,fucking
bekliyorlar,they are waiting
etmeyecek,won't
malı,financial
dinleme,listening
miles,miles
telefonun,your phone
neil,Neil
bunlarla,with these
şefi,chief
mutsuz,unhappy
ekstra,extra
leonard,leonard
matematik,maths
ann,Ann
diyeceksin,you will say
dizi,soap opera
çarşamba,Wednesday
bonnie,bonnie
bensiz,without me
düşünsene,think about it
kilit,lock
hayran,fan
elindeki,in your hand
gücün,your power
yazmak,to write
sözler,words
do,do
babacığım,daddy
yem,bait
harold,harold
uydu,satellite
işareti,sign
aynısı,the same
saçını,your hair
pat,bang
ada,island
beklemiyordum,I didn't expect
örneği,example
dostlarım,my friends
altını,gold
gidiyorlar,they are going
öldükten,after death
taciz,abuse
çoğunu,most of them
şiddetli,severe
kullandığı,uses
yapmana,to do
aptallık,stupidity
gidemem,I can't go
jonathan,Jonathan
almaz,does not take
ortalığı,the mess
aralar,breaks
connor,connor
kutlama,celebration
nehir,river
tanımıyorsun,you don't know
attın,you threw
çaba,effort
nasılsa,somehow
takdirde,if
harikasın,You are great
hakaret,insult
çekmeye,to pull
bakım,care
şansını,your luck
monica,monica
dediniz,you said
göreve,on duty
salonu,hall
kaybolmuş,lost
tina,tina
şeklinde,shaped
duruyordu,was standing
kaçış,escape
sözleri,lyrics
jung,jung
konuşuyoruz,we are talking
imkânsız,impossible
russell,Russell
işle,process
versin,let him give
düşündük,we thought
iyiliği,goodness
grant,grant
köpekler,dogs
konuşurum,I talk
mutfak,kitchen
bulacak,will find
başardı,succeeded
allison,Allison
olmayacağını,it won't happen
idam,execution
tahta,wood
kendimden,from myself
düzen,order
şeyde,in something
bitirdim,i finished
nasil,How
çıkacağım,I will go out
başladılar,they started
böylesine,such
devletler,states
defalarca,repeatedly
yaşındayım,I am years old
aklımı,my mind
internet,Internet
ölümünden,from his death
owen,Owen
julian,julian
işinde,in your job
önemlidir,is important
haklıydı,he was right
rolü,role
fotoğrafları,photos
bulabiliriz,we can find
başlama,start
gelecekte,in the future
kafan,your head
ofis,office
olmadım,I didn't
severdi,he loved
dansı,dance
arkadaşlarını,your friends
sayede,thus
gelemem,I can't come
papa,pope
beden,body
vermen,you don't give
sammy,sammy
altyazı,subtitle
değiştirdim,I changed
belirsiz,uncertain   
ettiğiniz,what you do
oldugunu,is
silahın,your gun
vermedin,you didn't give
değişim,change
adet,piece
bahar,spring
tanırım,i know
çiçekler,flowers
boku,shit
bağla,tie up
gözlerim,my eyes
inkar,denial
olumsuz,negative
gabriel,gabriel
gelirken,while coming
caddesi,street
aramızdaki,between us
düşen,falling
dick,dick
gördüğümü,what i see
önünden,in front of
kahverengi,brown
götürür,takes away
mason,mason
okuma,reading
konuşmalıyım,I have to talk
atmaya,to throw
filmin,of the movie
ölümden,from death
elli,fifty
ken,ken
lazımdı,it was necessary
veriyorlar,they give
bİr,One
vermiyorsun,you don't give
elleri,hands
genetik,genetic
kaçıp,run away
kardeşler,siblings
sırt,back
duyduk,we heard
teker,wheel
savcı,prosecutor
doktorun,your doctor
demin,just now
ticaret,trade
iyiyiz,we are fine
erkenden,early
keyfini,enjoy
durmadan,constantly
bulduğumuz,we found
paylaşmak,to share
sıkıldım,I am bored
bulunuyor,is located
williams,Williams
verirsin,you give
bencil,selfish
uzmanı,specialist
travis,travis
düşünmedim,I didn't think
yiyor,is eating
şiir,poem
dükkanı,shop
yakaladı,caught
gösterin,show
edilecek,will be
diyeyim,let me say
kullandım,I used
ihbar,notice
İspanya,Spain
sayısı,number
arıyorlar,they are calling
hapisten,from prison
kurabiye,cookie
sör,sir
kaldığını,staying
anlarım,I understand
arkadaşına,to your friend
bilmez,doesn't know
babanız,your father
açıldı,opened
eninde,in width
diyordum,I was saying
sokağa,to the street
çıkacağız,we will go out
yapmıştım,i had done
azıcık,little
konuşur,speaks
dinlen,relax
diğerlerini,others
olmamalı,shouldn't be
görevlisi,attendant
baktı,looked
dünyadan,from the world
tanesini,one of them
koltuk,armchair
çamaşır,washing
earl,earl
that,that
kalbin,your heart
durumunda,in case
başkasına,to someone else
toplum,society
öldürün,kill
ortağı,partner
aradığını,what you are looking for
çocuklarını,your children
şahit,witness
kötülük,evil
benle,with me
bakarak,looking at
gittiğinde,when you go
oldunuz,you became
aklımda,on my mind
evrenin,the universe
yapabileceğin,you can do
gösterecek,will show
düşmanı,enemy
dakikalığına,for a minute
karşınızda,in front of you
otomatik,automatic
jules,jules
elle,by hand
virginia,virginia
uyumak,to sleep
kuvvetli,strong
bense,me
blake,blake
kapandı,closed
durmak,stop
kullandı,used
booth,booth
özleyeceğim,I will miss you
getiririm,I will bring
buluşalım,let's meet
diyebilirsin,you can say
tersine,backwards
yapabilecek,able to
yolumdan,out of my way
yapımı,making
düzine,dozen
anlatacak,will tell
bire,I'd like to send a message by e-mail
istediklerini,what they want
randevum,my date
deneyeceğim,I will try
ji,ji
çıktığında,when it comes out
evinden,from home
geçiş,transition
yorum,comment
lâzım,required
bulabilir,can find
sizsiniz,you are
düzelecek,it will be okay
dostlar,friends
kaya,rock
kimyasal,chemical
taşıyor,is carrying
yolladı,sent
oldular,they became
kutusu,box
kuvvetleri,forces
makul,reasonable
masanın,of the table
kaybedecek,will lose
kalıcı,permanent
şehirdeki,in the city
üzereyim,I'm about
kitty,kitty
oturmak,to sit
kesip,cut out
bilmiyordu,didn't know
sen.,you.
savaşmak,fight
şampiyon,champion
haksızlık,injustice
almıyor,not taking
alamıyorum,I can't receive
pas,rust
ruth,Ruth
christine,christine
hallederiz,we will handle it
bağışlayın,forgive me
bahset,mention
tartışma,argument
zorundasınız,you have to
öğretti,taught
birisine,to someone
anlamını,its meaning
düştüm,I fell
dong,dong
sağır,deaf
söylüyordu,was saying
dışarıdan,from outside
aah,aah
çatlak,crack
tanıştık,we met
california,california
belirli,clear
sabırlı,patient
okudun,you read
koyu,dark
benzeyen,similar
espri,humor
konuşması,speech
izlemeye,to watch
tadına,to taste
olmasından,from being
eşek,donkey
bulursun,you will find
samimi,sincere
bart,bart
oturan,sitting
masada,at the table
duyarım,I hear
liste,list
sokaklarda,in the streets
kanıtlar,evidence
diyoruz,we say
kralın,the king's
norman,Norman
megan,Megan
bara,bar
kızarmış,fried
şartlı,conditional
keyif,pleasure
rory,Roy
phoebe,phoebe
demiyorum,I'm not saying
kata,to the floor
travma,trauma
zekalı,witted
gelmeni,to come
İmkansız,Impossible
söylersen,if you tell
olmadığından,because it is not
geçtiğini,passed
İyice,Thoroughly
arasından,from
paige,Paige
kaynak,source
kişiyle,with person
icat,invention
söylemiyorsun,you don't say
döndüğümde,when I return
sandalye,chair
çantayı,the bag
harris,Harris
barney,Barney
dayak,beating
hayali,imaginary
aileden,from family
bırakacak,will leave
anki,current
ediliyor,is being
komuta,command
black,black
elliot,elliot
sin,sin
açıklaması,description
yaşadığım,I live
bulduğunu,you found
başkasını,someone else
öldürülmüş,murdered
yaşama,legislative
İçine,Into
kolu,handle
fıstık,peanut
çıkabilir,may come out
white,white
seçti,chose
uğradım,I stopped by
güneşin,of the sun
ima,glance
dahası,moreover
alamam,I can't get
tara,scan
dikkate,into consideration
biçim,format
endişeli,anxious
kullanılan,used
razı,willing
yazdı,wrote
liam,liam
geçit,passage
bo,Bo
vermeyin,don't give
oynayalım,let's play
house,house
eğitimi,education
lincoln,lincoln
şunun,this one
my,my
uzaklara,far away
ülkeyi,country
walt,walt
açma,opening
yararı,benefit
kalkıp,get up
gözüm,my eye
adamımız,our man
buradasınız,you are here
shane,shane
istedikleri,they want
buradalar,they are here
yapmanın,to do
savaştan,from war
dayanamıyorum,I can't cope
francisco,francisco
piyano,piano
kızlara,to girls
çıkarıyor,taking out
yolcu,traveller
bulacaksın,you will find
girme,entering
kendimize,ourselves
sonunu,the end
amcam,my uncle
muhtemel,likely
ofiste,in the office
hatırladığım,I remember
geçirdik,we had
alanında,in the field
haftalık,weekly
alphahff,alphahff
anladık,we understand
çalar,player
listesini,list
olabiliyor,it can happen
düşünmeden,without thinking
kendisinin,his own
alamazsın,you can't get it
çaresiz,hopeless
vermiştin,you gave
oğlunuz,your son
sersem,giddy
hitap,address
kıçına,to your ass
büyücü,wizard
konuşacağız,we will talk
arkadaşlık,friendship
biziz,we are
aslan,lion
seth,Seth
çalışmış,worked
görebiliyor,can see
saatten,from the clock
kiralık,for rent
çalmaya,to steal
aralarında,between them
gerçekçi,realistic
görme,visual
şart,condition
vücudu,his body
beynini,your brain
nerelerdeydin,where have you been
yaptığınızı,what you did
diliyorum,I wish
orijinal,original
kardeşine,to your brother
eğlenceliydi,it was fun
saldırdı,attacked
stanley,stanley
eleman,element
miktar,amount
burun,nose
tamamıyla,completely
kaybol,get lost
çatı,roof
tekrardan,again
olmaları,to be
elden,out of hand
ikinizin,both of you
kapıda,at the door
kurusu,dried
riskli,risky
kurallara,to the rules
çaldın,you stole
bulamadık,we couldn't find
yayın,broadcasting
avuç,handful
diyeceğimi,what i will say
kuzenim,my cousin
korkmuş,scared
ulaşmaya,to reach
görevin,your mission
karl,karl
bakarız,we'll see
dönme,rotation
göreceğim,I will see
başlamıştı,had started
bekar,single
blok,block
birimiz,one of us
boşanma,divorce
bahis,bet
kurbanı,victim
erkekleri,men
şehirden,from the city
sevgilin,your lover
malzeme,material
quinn,quinn
görüp,see and see
kulüp,club
çalışmayı,to work
etkisiz,ineffective
yaptığımızı,what we do
belası,trouble
bayramı,holiday
kabus,nightmare
saygısızlık,disrespect
konsantre,concentrated
yoldaş,comrade
stres,stress
mıydınız,Were you
ilgileniyor,interested
yazın,in summer
bağışla,forgive
teksas,Texas
jen,jen
çalan,ringing
x,x
çelik,steel
işimize,to our work
clay,clay
veremeyiz,we can't give
istifa,resignation
odamda,in my room
papaz,priest
sorayım,let me ask
kaliforniya,California
gidiyordu,was going
izleyin,follow
almıştı,had taken
göndermek,to send
neredeler,where are they
kasa,till
kontrolden,out of control
patronun,your boss
anthony,anthony
oynamayı,to play
ailesine,to his family
flört,flirt
saatlik,hourly
çağırın,call
şerefine,in honor of
hakları,rights
diyen,who says
olanların,of those
allahım,my god
jersey,Jersey
çalışın,work
zararı,damage
silahla,with a gun
arabamı,my car
kızlarla,with girls
soruları,questions
bilseydim,if i knew
hayatıma,to my life
resimleri,pictures
aklım,my mind
çorba,soup
personel,employee
açıklıyor,explains
çalışacak,will work
yapardın,you would
taklit,imitation
hoşçakalın,goodbye
borçlusun,you owe
nedenmiş,why?
salla,shake it
şeytani,demonic
içeriye,inside
dışarda,outside
uzaklaş,go away
bağlantılı,linked
mm,mm
röportaj,report
sudan,Sudan
dünyası,world
hap,pill
kanal,channel
nerdeyse,almost
tracy,Tracy
buluyorum,I find
aramayı,to call
İşimi,my job
yatmak,to lie down
kayıtlarını,records
gelmen,you come
pratik,practical
etsem,if i do
yıldızlar,stars
kısım,part
finn,Finn
anlayabiliyorum,I can understand
kazası,accident
partide,at the party
bitirelim,let's finish
ricky,ricky
dolayısıyla,therefore
endişelenmeyin,don't worry
yönetici,executive
mitch,Mitch
mulder,mulder
hill,hill
sinemaya,to the cinema
